ID,Název praktiky,Typ extrému,Měřítko aplikace,Lokalita,Zeměpisná šířka,Zeměpisná délka,Relativní nákladnost,Doba implementace cca,Popis praktiky,Přínosy a výhody,Rizika a omezení,Postup implementace,Zdrojová organizace,Kontaktní údaje,Reference a zdroje,Datum přidání,Podpůrné soubory,Oblast dopadu,Typ opatření,Fáze krize,Provenience,Úroveň ověření,Stav,Kanonický klíč
53,Regenwasseragentur Berlin (městská agentura),"Přívalové deště, Sucho",Město,"Berlín, Německo",52.52,13.405,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Berlínskou agenturu pro dešťovou vodu (Berliner Regenwasseragentur) založily v roce 2018 společně země Berlín (senátní správa pro životní prostředí) a městský vodárenský podnik Berliner Wasserbetriebe jako centrální kompetenční místo pro přestavbu Berlína na „houbové město“ (Schwammstadt). Agentura sama nestaví, ale odstraňuje bariéry: poskytuje bezplatné vstupní poradenství vlastníkům nemovitostí, developerům, městským částem i školám, provozuje online nástroje (kalkulačky, katalog realizovaných projektů, vyhledávač odborných firem), pořádá workshopy a školení a propojuje aktéry. Rámec tvoří berlínská pravidla, podle nichž nové zástavby musejí od roku 2018 hospodařit se srážkovou vodou na pozemku (omezení odtoku do jednotné kanalizace), a dlouhodobý cíl postupně odpojovat zpevněné plochy od kanalizace, aby se omezily přepady nečištěné vody do Sprévy a voda se využila pro zeleň a ochlazování města.","Jednotné kontaktní místo zrychluje a zlevňuje přípravu opatření (zelené střechy, vsakovací průlehy, retenční nádrže, odpojování svodů) – žadatelé nemusejí obcházet více úřadů a vstupní konzultace jsou zdarma. Decentrální retence současně snižuje přepady jednotné kanalizace do vodních toků při přívalových deštích a zadržuje vodu ve městě proti suchu a horku – dvojí přínos u obou extrémů. Za prvních pět let (2018–2023) agentura poskytla stovky konzultací a etablovala principy Schwammstadt jako standard berlínského plánování; model „agentury“ je levný na zřízení a snadno přenositelný.","Účinnost závisí na tom, zda vlastníci a městské části opatření skutečně realizují – u stávajících soukromých pozemků je vše dobrovolné (motivací je oddělený poplatek za srážkovou vodu a dotace), povinnost platí jen pro novou výstavbu. Efekt na kanalizaci a vodní toky se projeví až kumulací mnoha malých opatření v horizontu let až desetiletí. Financování a mandát agentury musejí být dlouhodobě zajištěny oběma zřizovateli. V ČR přenositelné jako městské „centrum hospodaření s dešťovou vodou“; vyžaduje spolupráci města a vodáren a provázání s poplatky a dotacemi.","1. Dohoda města a vodárenského podniku o zřízení a financování agentury. 2. Sestavení malého odborného týmu a definice služeb (poradenství, nástroje, vzdělávání). 3. Zavedení bezplatných vstupních konzultací pro vlastníky a městské části. 4. Publikace katalogu vzorových projektů, kalkulaček a map. 5. Workshopy a školení pro projektanty, správce a úřady. 6. Provázání s regulací (povinné hospodaření se srážkovou vodou u novostaveb) a ekonomickými nástroji (poplatek za srážkovou vodu, dotace). 7. Vyhodnocování počtu konzultací a odpojených zpevněných ploch.",Regenwasseragentur Berlin,,Berliner Regenwasseragentur | https://www.regenwasseragentur.berlin/ | Berliner Wasserbetriebe – Schwammstadt Berlin | https://www.bwb.de/de/schwammstadt-berlin.php | Berlin.de – Regenwasseragentur | https://www.berlin.de/sen/uvk/umwelt/wasser-und-geologie/regenwasser/regenwasseragentur/,,,Životní prostředí,Organizační,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"regenwasseragentur berlin (mestska agentura)|berlin, nemecko|privalove deste, sucho"
54,Stockholm – Skyfallsplan (plán zvládání přívalových dešťů),Přívalové deště,Město,"Stockholm, Švédsko",59.3293,18.0686,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Stockholm buduje systematickou připravenost na přívalové deště (švédsky „skyfall“) kombinací celoměstského modelování a závazného plánování. Město nechalo zpracovat detailní srážko-odtokový model celého území (skyfallsmodell), který simuluje 100letý přívalový déšť včetně klimatického faktoru (navýšení intenzit s výhledem ke konci století) a mapuje, kudy voda po povrchu poteče a kde se bude hromadit. Výstupy jsou podkladem pro územní plánování i projekty: nové čtvrti se navrhují tak, aby ani 100letý déšť nezpůsobil škody na zástavbě – ulice, parky a náměstí slouží jako řízené povrchové cesty odtoku a retence (modrozelená, „blågröna“ řešení). Zastupitelstvo (kommunfullmäktige) přijalo 13. 12. 2021 akční plán klimatické adaptace na období 2022–2025, který obsahuje samostatné zásady pro skyfall; hospodaření s dešťovou vodou dále upravuje městská dešťová strategie z roku 2015. Za realizaci odpovídají město Stockholm a městský podnik Stockholm Vatten och Avfall, který spravuje odvodnění.","Město má kvantifikovanou mapu rizika pro celé území (100letý déšť s klimatickým faktorem): ví, které ulice, podjezdy a čtvrti se zaplaví, a může investice směrovat tam, kde odvrátí největší škody – priorizace šetří prostředky. Zásada „novostavby bez škod při 100letém dešti“ přenáší náklady adaptace do běžné výstavby. Podle SMHI vzrostou roční srážky ve Švédsku do konce století o 20–30 % a extrémní přívaly zčetní; systematický plán snižuje budoucí škody na majetku a infrastruktuře – varováním je kodaňská průtrž z roku 2011 se škodami cca 0,8–1 mld. €, která tento typ plánování ve Skandinávii odstartovala.","Plán sám o sobě neochrání – vyžaduje dlouhodobé investice do povrchových retencí a přestaveb ulic, přičemž prostor v husté zástavbě je omezený; realizace se rozkládá na desetiletí a do té doby trvá reziduální riziko. Odpovědnost je rozdělena mezi město, vodárenský podnik a soukromé vlastníky (na soukromých pozemcích má město omezené nástroje). Model pracuje s odhady klimatického faktoru – skutečné srážky mohou být intenzivnější; model i plán je nutné pravidelně aktualizovat. Přenositelnost do ČR je vysoká (mapy povrchového odtoku, koncepce hospodaření se srážkovou vodou), vyžaduje však kvalitní data a koordinaci se správci sítí.","1. Pořízení celoměstského srážko-odtokového modelu (100letý déšť + klimatický faktor). 2. Mapování rizikových míst a škodních potenciálů. 3. Zakotvení zásad do závazných dokumentů (akční plán adaptace, dešťová strategie, územní plánování). 4. Priorizace povodí a návrh strukturálních opatření (retenční parky, modrozelené ulice, povrchové cesty odtoku). 5. Postupná realizace v rámci investic a přestaveb veřejných prostranství. 6. Provoz a údržba modrozelené infrastruktury (Stockholm Vatten och Avfall). 7. Aktualizace modelu a plánu podle nových dat a proběhlých událostí.",Stockholms stad,,Stockholms stad – Miljöbarometern: Skyfall | https://miljobarometern.stockholm.se/klimat/klimatanpassning/skyfall/ | Stockholm Vatten och Avfall – Skyfallsmodell | https://www.stockholmvattenochavfall.se/dagvatten/vagledningar2/rad-och-anvisningar/planera/oversvamningsrisker/skyfallsmodell/ | Stockholms stad – Handlingsplan för klimatanpassning | https://miljobarometern.stockholm.se/miljomal/handlingsplan-for-klimatanpassning/,,,"Finance a majetek, Infrastruktura",Organizační,"Před krizí – prevence, Připravenost systému (IZS)",Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"stockholm – skyfallsplan (plan zvladani privalovych destu)|stockholm, svedsko|privalove deste"
55,Helsinky – Hulevesi (celoměstský program hospodaření se srážkovými vodami),Přívalové deště,Město,"Helsinky, Finsko",60.1699,24.9384,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Celoměstský program hospodaření se srážkovými vodami (hulevesiohjelma), který Helsinky (cca 675 000 obyvatel) schválily v roce 2018 jako nástupce strategie z roku 2008. Program stanovuje závaznou pětistupňovou prioritu nakládání se srážkovou vodou: 1) zadržení a využití v místě dopadu (vsakování), 2) retence na pozemku povrchovými prvky (dešťové zahrady, průlehy, mokřady), 3) odvedení dešťovou kanalizací do retenčních ploch na veřejných pozemcích, 4) odvedení potrubím přímo do vodních toků a moře, 5) jednotná kanalizace pouze jako poslední možnost. Sleduje šest cílů – od využití dešťové vody pro atraktivitu prostředí přes zvládání odtoku se zohledněním změny klimatu až po snížení množství srážkových vod odváděných do jednotné kanalizace. V detailním územním plánování je uplatňován tzv. zelený faktor (viherkerroin) – bodový nástroj předepisující podíl zeleně a retenčních prvků na parcelách nové výstavby. Realizují se přírodě blízká opatření, např. písková filtrace srážkových vod v parku Maunulanpuisto, biouhlová filtrační plocha v Metsälä a revitalizace městských potoků. Implementaci koordinuje odbor městského prostředí (Kaupunkiympäristö) prostřednictvím mezioborové pracovní skupiny pro srážkové vody.","Jednotná závazná hierarchie platná pro všechny městské odbory i stavebníky snižuje objem srážkových vod v jednotné kanalizaci, a tím četnost přepadů nečištěných vod do moře; povrchové prvky zároveň odtok dočišťují (živiny, těžké kovy, sedimenty). Pětistupňová priorita a zelený faktor se uplatňují průběžně u nových detailních plánů – adaptace probíhá v rámci běžné výstavby bez nutnosti velkých jednorázových investic. Přínos pro město (nižší riziko lokálních podtopení v zahušťované zástavbě), pro vlastníky (program počítá s kritérii slev z poplatku za srážkovou vodu při hospodaření na vlastním pozemku) i pro ekosystémy městských toků. Jako převážně organizační opatření s nízkými přímými náklady je model dobře přenositelný do ČR.","Chladné klima omezuje vsakování – v zimě je půda promrzlá a jarní tání sněhu vytváří odtokové špičky mimo vegetační sezónu; zimní údržba (posyp, odklízení sněhu) zanáší retenční prvky a vyžaduje samostatné plány údržby. Organizační opatření samo o sobě nic nepostaví – účinnost závisí na důsledném vymáhání hierarchie v povolovacích procesech a na koordinaci mnoha aktérů (město, regionální vodárenská společnost HSY, soukromí vlastníci). Program nemá číselné cílové hodnoty, celkový efekt se proto obtížně kvantifikuje. Filtrační a retenční prvky vyžadují pravidelnou údržbu (sedimenty, vegetace), jejíž financování je nutné oddělit od běžné údržby zeleně.","1. Analýza povodí a problémových míst na území celého města 2. Schválení programu se závaznou pětistupňovou prioritou nakládání se srážkovou vodou 3. Zavedení zeleného faktoru do detailního územního plánování 4. Zřízení mezioborové pracovní skupiny pro srážkové vody 5. Pilotní přírodě blízká opatření na veřejných pozemcích (filtrace, retenční parky, revitalizace potoků) 6. Motivace soukromých vlastníků (kritéria slev z poplatku za srážkovou vodu) 7. Monitoring množství a kvality odtoku, evaluace a aktualizace programu",City of Helsinki (Kaupunkiympäristö – odbor městského prostředí),,"City of Helsinki Storm Water Management Program 2018 (EN, PDF) | https://www.hel.fi/static/liitteet/kaupunkiymparisto/julkaisut/julkaisut/julkaisu-03-18-en.pdf | Climate work in Helsinki – Natural stormwater management | https://ilmasto.hel.fi/en/adaptation/adaptation-measures/natural-stormwater-management/ | Climate-ADAPT – The Green Factor Tool (Helsinki) | https://climate-adapt.eea.europa.eu/en/mission/solutions/tools-inactive/033_the-green-factor-tool",,,"Infrastruktura, Životní prostředí",Organizační,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"helsinky – hulevesi (rizeni srazek)|helsinky, finsko|privalove deste"
56,Paříž – experimentální „chladné“ povrchy (cool pavements),Vlny veder,Čtvrť,"Paříž, Francie",48.8566,2.3522,Střední (500 tis. - 5 mil. Kč),Krátkodobá (<1 rok),"Paříž v rámci evropského projektu LIFE „Cool & Low Noise Asphalt“ (LIFE16 ENV/FR/000384, 7/2017–6/2023, rozpočet 2,26 mil. €, z toho 60 % spolufinancování EU) testovala asfaltové povrchy, které současně snižují letní přehřívání ulic a hluk z dopravy. Na podzim 2018 byly položeny tři pilotní úseky: rue Lecourbe a rue Frémicourt (15. obvod) a rue de Courcelles (8. obvod), vybrané kvůli absenci vegetace, silnému oslunění a vysoké hlukové zátěži. Testovány byly tři směsi se světlým kamenivem – PUMA (Eurovia), BBphon+ a SMAphon (Colas); jejich porézní struktura umožňuje v horkých dnech kropení nepitnou vodou a chlazení odparem. Partnery města byly Bruitparif (akustický monitoring), Eurovia a Colas; teplotní a akustické parametry byly několik let sledovány v reálném provozu a srovnávány s referenčními úseky. Opatření je součástí širší strategie ochlazování města („Rafraîchir Paris“ – síť ochlazovaných míst, pítka, stínění).","Změřené výsledky pilotu: snížení hluku valení o 1,3 dB(A) (BBphon+, metoda CPX) a okolního hluku o 2,8 dB(A) (SMAphon); v kombinaci s kropením snížení tepelného stresu chodců o 1 °C (SMAphon) až 2–3 °C (BBphon+, PUMA). Dvojí přínos (horko + hluk) z jediné rekonstrukce vozovky; mechanická odolnost a životnost směsí srovnatelná s běžnými povrchy, opatření lze proto zavádět postupně při běžné obnově komunikací. Přínos především pro obyvatele hustých, osluněných ulic bez stromů, kde nelze vysadit zeleň.","Bez kropení se porézní povrch BBphon+ mikroklimaticky choval hůře než běžný asfalt – ochlazovací účinek je tedy podmíněn provozem kropení (spotřeba nepitné vody, technika a personál během veder). Ochlazení činí řádově jednotky °C a je lokální; samo o sobě tepelný ostrov města nevyřeší. Světlé povrchy se provozem špiní a ztrácejí odrazivost; při vysoké odrazivosti hrozí oslnění a přenos tepelné zátěže na chodce; speciální směsi jsou dražší než běžný asfalt. Výsledky z pařížského klimatu a provozu je před přenosem do ČR nutné ověřit pilotem (zimní údržba, posyp, mrazové cykly).","1. Výběr pilotních ulic (bez vegetace, osluněné, hlučné) 2. Volba asfaltových směsí se světlým kamenivem a akustickými vlastnostmi 3. Pokládka pilotních úseků v rámci běžné rekonstrukce vozovky 4. Instalace čidel a víceletý monitoring teplot a hluku (CPX, měření na fasádách) 5. Kropení povrchů nepitnou vodou během veder 6. Vyhodnocení proti referenčním úsekům 7. Rozhodnutí o zařazení osvědčených směsí do městských standardů obnovy vozovek","Ville de Paris (s partnery Bruitparif, Eurovia, Colas)",,LIFE Cool & Low Noise Asphalt – oficiální stránka projektu | https://www.life-asphalt.eu/?lang=en | Evropská komise – LIFE16 ENV/FR/000384 (shrnutí a výsledky) | https://webgate.ec.europa.eu/life/publicWebsite/project/LIFE16-ENV-FR-000384/life-cool-low-noise-asphalt | Bruitparif – Le projet LIFE Cool & Low Noise Asphalt (achevé) | https://www.bruitparif.fr/le-projet-life-cool-low-noise-asphalt-acheve/,,,"Zdraví, Životní prostředí, Infrastruktura",Technické,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Pilot,approved,"paris – experimentalni „chladne“ povrchy (cool pavements)|pariz, francie|vlny veder"
57,Medellín – Corredores Verdes (zelené koridory),Vlny veder,Město,"Medellín, Kolumbie",6.2442,-75.5812,Vysoké (5-50 mil. Kč),Dlouhodobá (3-10 let),"Síť 30 propojených zelených koridorů (20 km, 70 ha) vzniklá od r. 2016 transformací 18 silnic a 12 vodních toků na stinné zelené prostory s pěšími a cyklo trasami. Vysazeno ~880 000 stromů a 2,5 mil. rostlin; ozeleněny i mosty, stanice metra a fasády veřejných budov (vertikální zahrada radnice ~1 810 m², 100 000 rostlin). Botanická zahrada školí obyvatele ze znevýhodněného prostředí jako městské zahradníky.","Snížení průměrné teploty vzduchu o 3,5 °C (z 31,6 na 28,1 °C) a povrchové teploty o 10,3 °C za 3 roky; pokles PM2.5 z 21,81 na 20,26 µg/m³ (2016–2019); +34,6 % cyklistů na stinných trasách; 1,5 mil. m² nového veřejného prostoru; sekvestrace ~160 t CO₂/rok na jeden koridor; sociální přínos (zaměstnání 100+ vyškolených zahradníků); Ashden Award 2019 (Cooling by Nature).","Dlouhodobé náklady na údržbu rozsáhlé vegetace (zálivka, ořezy); nutnost mezirezortní koordinace (doprava, vodní toky, zeleň); plná účinnost stromů až po letech růstu; přenositelnost kvantifikovaných efektů do mírného pásma omezená (tropické klima).","1. Mapování tepelného ostrova a znečištění	 2. Výběr koridorů (silnice, vodní toky, svahy)	 3. Výběr původních druhů dle stanoviště	 4. Výsadba a vertikální zahrady	 5. Vyškolení komunitních zahradníků	 6. Monitoring teplot a kvality ovzduší univerzitami	 7. Komunitní správa a rozšiřování sítě","Alcaldía de Medellín, Secretaría de Medio Ambiente",,preventionweb.net/news/colombia-green-corridors-help-reduce-heat-risk-medellin | ap-plat.nies.go.jp/inas/goodpractices/development/5.html | C40 Cities case study | Ashden Award 2019,2026-07-22,,"Zdraví, Životní prostředí, Obyvatelé a komunita",Technické,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"medellin – corredores verdes (zelene koridory)|medellin, kolumbie|vlny veder"
58,Ahmedabad – Heat Action Plan (první HAP v jižní Asii),Vlny veder,Město,"Ahmedabad, Indie",23.0225,72.5714,Nízké (<500 tis. Kč),Krátkodobá (<1 rok),"Po vlně veder 2010 s více než 1 300 nadměrnými úmrtími vytvořila Ahmedabad Municipal Corporation s PHFI, IIPH-Gandhinagar a NRDC první městský heat-health akční plán v jižní Asii (pilot 2013, plná implementace 2014). Pilíře: barevně kódované včasné varování (aktivace při předpovědi Tmax >41 °C), osvětové kampaně, meziagenturní koordinace, školení zdravotníků v rozpoznávání a léčbě tepelných onemocnění, ochrana zranitelných skupin (děti, senioři, venkovní pracovníci). Plán je každoročně aktualizován na základě evaluace sezóny.","Peer-reviewed evaluace (Hess et al. 2018, PLOS Medicine metodika before/after all-cause mortality) odhaduje ~1 190 odvrácených úmrtí ročně; největší pokles mortality při nejvyšších teplotách; model převzat desítkami indických měst (Nagpur, Surat, Bhubaneswar) a státy; nízkonákladové organizační opatření s vysokou návratností.",Účinnost závisí na reakci obyvatel na varování; nutná každoroční aktualizace a mezisektorová koordinace; kvantifikace dopadu vyžaduje kvalitní mortalitní data; přenositelnost prahových teplot vyžaduje lokální kalibraci.,1. Analýza mortality a identifikace zranitelných skupin	 2. Stanovení teplotních prahů pro výstrahy	 3. Barevně kódovaný varovný systém s médii	 4. Školení zdravotníků a komunitních pracovníků	 5. Osvětová kampaň před sezónou	 6. Meziagenturní koordinační protokoly	 7. Po sezóně evaluační workshop a aktualizace plánu,Ahmedabad Municipal Corporation / IIPH-Gandhinagar / NRDC,,Hess et al. (2018). Building Resilience to Climate Change: Pilot Evaluation of the Impact of India's First Heat Action Plan on All-Cause Mortality. PMC6236972 | nrdc.org/sites/default/files/ahmedabad-resilience-toolkit.pdf | exemplars.health/stories/ahmedabad-indias-heat-action-plan,2026-07-22,,"Zdraví, Obyvatelé a komunita",Organizační,"Přímo v krizi – krátkodobá reakce, Připravenost systému (IZS)",Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"ahmedabad – heat action plan (prvni hap v jizni asii)|ahmedabad, indie|vlny veder"
59,Amsterdam Rainproof (síťová platforma pro dešťovou odolnost),Přívalové deště,Město,"Amsterdam, Nizozemsko",52.3676,4.9041,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Program iniciovaný vodárenskou autoritou Waternet v r. 2013 (po poučení z kodaňské průtrže 2011) s cílem města strukturovaného tak, aby absorbovalo a zachytávalo dešťovou vodu. Strategie 'network approach': platforma s vlastní identitou propojující rezidenty, developery, bytová družstva, výzkum i úřady; toolkit opatření, faktsheety čtvrtí s mapami zranitelných míst a geotagovaný systém hlášení. Filozofie 'každá kapka se počítá' – tisíce malých decentralizovaných intervencí místo velkých investic.","Rozjezd s rozpočtem pouze 1,75 mil. € (2016–2021, z celkových 70–77 mil. € na HDV; financováno převážně ze stočného); mainstreaming dešťové odolnosti do soukromých investic a běžné obnovy města; přenositelný model síťové governance (inspirace pro Water Sensitive Rotterdam, Regenwasseragentur Berlin); veřejně dostupný katalog opatření.","Dopad obtížně měřitelný (indikátory typu vyřešená úzká hrdla, zapojení aktérů); dobrovolnost u soukromých vlastníků; závislost na kontinuitě financování Waternet; efekt podmíněn dlouhodobou kulturní změnou v projektování.","1. Mapování zranitelných míst (bottlenecks) při přívalech	 2. Vytvoření neutrální platformy s vlastní identitou	 3. Zapojení ambasadorů a frontrunnerů	 4. Toolkit a faktsheety pro čtvrti	 5. Napojení na běžné investiční cykly (rekonstrukce ulic, střech)	 6. Komunikační kampaně	 7. Průběžná evaluace a rozšiřování sítě",Waternet / Gemeente Amsterdam,rainproof.nl,rainproof.nl | openresearch.amsterdam/en/page/76060/amsterdam-rainproof-waternet | Tandfonline 10.1080/09640568.2022.2030686 (peer-reviewed srovnění s Water Sensitive Rotterdam),2026-07-22,,"Životní prostředí, Obyvatelé a komunita, Infrastruktura",Organizační,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"amsterdam rainproof (sitova platforma pro destovou odolnost)|amsterdam, nizozemsko|privalove deste"
60,Basel – zákonná povinnost zelených střech (první město na světě),"Vlny veder, Přívalové deště",Město,"Basilej, Švýcarsko",47.5596,7.5886,Nízké (<500 tis. Kč),Kontinuální (>10 let),Novela stavebního zákona kantonu Basel-Stadt z r. 2002 vyžaduje ozelenění všech nových a rekonstruovaných plochých střech včetně designových směrnic pro maximalizaci biodiverzity (skladba substrátů); požadavek zpřísněn regulací 2010. Regulaci předcházely dotační programy 1996–97 (do 20 CHF/m²) a 2005–07 (30–40 CHF/m²) financované z Fondu úspor energie tvořeného 5% odvodem z účtů za elektřinu v kantonu – kombinace pobídek a následné povinnosti.,"Přes 1 mil. m² zelených střech – nejvyšší podíl na obyvatele na světě; prokázané přínosy: izolace budov (v létě ochlazení, v zimě retence tepla), retence srážek, podpora biodiverzity (ohrožené druhy bezobratlých a ptáků); trvalost díky ukotvení ve stavebním právu; inovativní finanční mechanismus (energetický fond) bez zátěže rozpočtu města.",Aktuální právní téma koexistence 100% zelených střech s fotovoltaikou (řešeno vyvýšenými panely); kontrola kvality provedení a substrátů; náklady přeneseny na stavebníky; přenos vyžaduje legislativní pravomoc na úrovni města/kantonu.,"1. Poll veřejnosti o podpoře energetické daně	 2. Dotační pilotní programy (1996–97, 2005–07)	 3. Výzkumná podpora (ZHAW Wädenswil – substráty, biodiverzita)	 4. Novela stavebního zákona (2002)	 5. Designové směrnice pro biodiverzitu	 6. Zpřísnění regulace (2010)	 7. Kontroly souladu při povolování a kolaudaci",Kanton Basel-Stadt / Stadtgärtnerei Basel,,climate-adapt.eea.europa.eu/en/metadata/case-studies/green-roofs-in-basel-switzerland-combining-mitigation-and-adaptation-measures-1 | interlace-hub.com/green-roof-strategy-basel | pozn.: regulační analogie k záznamu #41 (Toronto Green Roof Bylaw) – Basel je historicky první (2002),2026-07-22,,"Budovy, Životní prostředí",Kombinované,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"basel – zakonna povinnost zelenych strech (prvni mesto na svete)|basilej, svycarsko|vlny veder, privalove deste"
61,Gdaňsk – ogrody deszczowe a mała retencja (Gdańskie Wody),"Přívalové deště, Sucho",Město,"Gdaňsk, Polsko",54.352,18.6466,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Systémový přístup městské společnosti Gdańskie Wody k hospodaření s dešťovou vodou: maximum vody se retenuje v krajině (retenční nádrže, parky a skvéry, dešťové zahrady, travnaté niecky, vsakovací muldy, zelené střechy) a teprve přebytek jde do kanalizace. Dešťové zahrady tvoří z >50 % hydrofytní druhy dočišťující vodu (těžké kovy, N, P); tři typy dle podloží (suché/mokré/smíšené). Město provozuje síť 26 srážkoměrů napříč čtvrtěmi; první demonstrační zahrada s povodím ~2 700 m² v areálu společnosti; obyvatelé a rady čtvrtí mohou hlásit lokální podtopení k prověření.","Snížení lokálních podtopení a odlehčení dešťové kanalizace; dvojí funkce (přívaly + sucho – deštovka jako zdroj); přírodní dočištění odtoku; nízké jednotkové náklady a snadná replikace u domů i institucí; monitoring efektivity publikován peer-reviewed (Science of the Total Environment 2022); nejpřenositelnější analogie pro ČR (klima, urbánní struktura).",Účinnost jednotlivých zahrad závisí na poměru plochy zahrady k povodí a propustnosti půdy; údržba vegetace a sedimentů; zimní režim; koordinace se soukromými vlastníky pozemků.,1. Analýza povodí a srážkoměrná síť	 2. Demonstrační objekt jako dobrá praxe	 3. Typové návrhy zahrad dle podloží	 4. Realizace na městských pozemcích a u institucí	 5. Program podnětů od rad čtvrtí (lokální podtopení)	 6. Osvěta a návody pro obyvatele	 7. Monitoring naplnění a účinnosti,Gdańskie Wody sp. z o.o.,gdmel.pl,"gdmel.pl/mala-retencja | Science of the Total Environment (2022), doi:10.1016/j.scitotenv.2022.155487 – Technical solutions and benefits of introducing rain gardens – Gdańsk case study | themayor.eu/en/a/view/discover-the-rain-gardens-of-gdansk-3272",2026-07-22,,"Životní prostředí, Infrastruktura, Obyvatelé a komunita",Kombinované,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"gdansk – ogrody deszczowe a mała retencja (gdanskie wody)|gdansk, polsko|privalove deste, sucho"
62,Hamburk – HafenCity „Warftenkonzept“ (výstavba na vyvýšených terasách místo hrází),Povodně,Čtvrť,"Hamburk (HafenCity), Německo",53.5413,9.995,Vysoké (5-50 mil. Kč),Kontinuální (>10 let),"Namísto obehnání 126ha čtvrti hrázemi jsou všechny ulice, mosty a veřejné prostory vyvýšeny na zhutněných pískových terasách (Warften) na kótu 7,5–8,9 m n. m. (nové čtvrti až 8,3 m dle aktualizovaných predikcí); budovy stojí na vodotěsných soklech s protipovodňovými vraty pro provozy v parteru. Zvláštní místní zákon (2002) ukládá vlastníkům zřídit povodňová společenství (Flutschutzgemeinschaften) s povodňovými zmocněnci, dodržet stavební výšky a obsluhovat mobilní uzávěry. Zachováno 10,5 km promenád na historické úrovni přístavu.","Průchodnost dopravy a záchranných složek i během storm surge (vše na chráněné úrovni); prokázaná odolnost – bouře Zeynep 2/2022 s nejvyšší přílivovou vlnou dekády (3,75 m) bez škod; zachování kontaktu s vodou a přístavního charakteru (bez bariéry hráze); etapovatelná výstavba bez nutnosti dokončit obvodovou ochranu předem; náklady z velké části nesou developeři.","Vysoké náklady na navýšení terénu a vodotěsné konstrukce; právní a organizační složitost (povinnosti vlastníků, společenství); nutnost pravidelných cvičení obsluhy vrat; každoroční vícejazyčná osvěta obyvatel (Sturmflut-Merkblätter); model vázán na novou výstavbu (retrofit stávající zástavby obtížný).",1. Rozhodnutí Warften vs. hráze (analýza urbanistických dopadů)	 2. Místní zákon o povodňové ochraně (2002)	 3. Navýšení infrastruktury na chráněnou kótu	 4. Vodotěsné sokly budov a protipovodňová vrata	 5. Zřízení Flutschutzgemeinschaften a jmenování zmocněnců	 6. Roční informační kampaně	 7. Aktualizace kót dle nových klimatických predikcí	 8. Counterfactual analýzy po událostech,HafenCity Hamburg GmbH / Freie und Hansestadt Hamburg,,hafencity.com/en/urban-development/infrastructure | preventionweb.net/resource/case-study/managing-flooding-hamburgs-hafencity | HmbGVBI 2002 (místní zákon),2026-07-22,,"Infrastruktura, Budovy, Obyvatelé a komunita",Kombinované,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"hamburk – hafencity „warftenkonzept“ (vystavba na vyvysenych terasach miste hrazi)|hamburk (hafencity), nemecko|povodne"
